,category_id,nation,views,category_name,publishing_day,publishing_hour,publishing_day_num
12906,24,KR,529704,Entertainment,Sat,11,6
12907,22,KR,145939,People & Blogs,Sun,14,7
12908,22,KR,69814,People & Blogs,Mon,8,0
12909,1,KR,82056,Film & Animation,Mon,7,0
12910,22,KR,294952,People & Blogs,Mon,8,0
12911,1,KR,35562,Film & Animation,Mon,11,0
12912,19,KR,79272,Travel & Events,Sun,17,7
12913,25,KR,115869,News & Politics,Mon,9,0
12914,25,KR,83237,News & Politics,Mon,4,0
12915,20,KR,899128,Gaming,Sun,12,7
12916,25,KR,92112,News & Politics,Tue,0,1
12917,24,KR,150032,Entertainment,Sun,4,7
12918,10,KR,871693,Music,Mon,13,0
12919,24,KR,236135,Entertainment,Mon,5,0
12920,25,KR,579855,News & Politics,Sat,2,6
12921,22,KR,26390,People & Blogs,Mon,14,0
12922,29,KR,57843,Nonprofits & Activism,Tue,0,1
12923,22,KR,45104,People & Blogs,Mon,16,0
12924,26,KR,223148,Howto & Style,Mon,9,0
12925,22,KR,43149,People & Blogs,Sun,13,7
12926,22,KR,144322,People & Blogs,Sat,22,6
12927,27,KR,115912,Education,Sun,16,7
12928,27,KR,20448,Education,Mon,12,0
12929,25,KR,34927,News & Politics,Mon,14,0
12930,25,KR,33807,News & Politics,Mon,12,0
12931,24,KR,17682,Entertainment,Mon,18,0
12932,10,KR,10080696,Music,Mon,9,0
12933,24,KR,13167,Entertainment,Mon,8,0
12934,23,KR,27282,Comedy,Sun,14,7
12935,23,KR,320278,Comedy,Mon,10,0
12936,23,KR,16168,Comedy,Mon,6,0
12937,25,KR,37208,News & Politics,Mon,12,0
12938,20,KR,29222,Gaming,Mon,7,0
12939,25,KR,39868,News & Politics,Sun,21,7
12940,10,KR,86115,Music,Sat,13,6
12941,24,KR,146949,Entertainment,Mon,14,0
12942,1,KR,488271,Film & Animation,Sun,7,7
12943,25,KR,31687,News & Politics,Mon,11,0
12944,22,KR,68195,People & Blogs,Sun,8,7
12945,24,KR,645262,Entertainment,Sat,10,6
12946,25,KR,26469,News & Politics,Sun,23,7
12947,25,KR,18611,News & Politics,Tue,0,1
12948,15,KR,174492,Pets & Animals,Mon,8,0
12949,22,KR,29601,People & Blogs,Mon,9,0
12950,22,KR,56911,People & Blogs,Mon,6,0
12951,24,KR,588768,Entertainment,Sun,11,7
12952,17,KR,322350,Sports,Sat,1,6
12953,25,KR,102293,News & Politics,Mon,10,0
12954,24,KR,145608,Entertainment,Mon,9,0
12955,17,KR,309120,Sports,Mon,12,0
12956,25,KR,47619,News & Politics,Sun,8,7
12957,17,KR,189953,Sports,Sat,11,6
12958,24,KR,16902,Entertainment,Mon,19,0
12959,25,KR,17396,News & Politics,Tue,3,1
12960,25,KR,190394,News & Politics,Sat,13,6
12961,22,KR,14672,People & Blogs,Mon,9,0
12962,22,KR,17130,People & Blogs,Mon,13,0
12963,24,KR,62142,Entertainment,Sun,17,7
12964,25,KR,59106,News & Politics,Sun,22,7
12965,25,KR,15997,News & Politics,Mon,16,0
12966,20,KR,49280,Gaming,Mon,4,0
12967,24,KR,16487,Entertainment,Mon,16,0
12968,10,KR,1429427,Music,Sun,6,7
12969,24,KR,58812,Entertainment,Sun,2,7
12970,25,KR,7587,News & Politics,Mon,16,0
12971,17,KR,241237,Sports,Sun,7,7
12972,22,KR,21993,People & Blogs,Mon,6,0
12973,24,KR,49609,Entertainment,Sun,6,7
12974,2,KR,8018,Autos & Vehicles,Mon,12,0
12975,25,KR,58986,News & Politics,Sun,8,7
12976,24,KR,19582,Entertainment,Sun,10,7
12977,24,KR,128071,Entertainment,Mon,9,0
12978,23,KR,152468,Comedy,Sun,9,7
12979,22,KR,25299,People & Blogs,Mon,4,0
12980,22,KR,26528,People & Blogs,Sun,0,7
12981,20,KR,17591,Gaming,Mon,6,0
12982,22,KR,15323,People & Blogs,Mon,10,0
12983,24,KR,406088,Entertainment,Mon,15,0
12984,1,KR,24860,Film & Animation,Mon,1,0
12985,22,KR,51758,People & Blogs,Sun,14,7
12986,22,KR,30631,People & Blogs,Sun,9,7
12987,22,KR,514875,People & Blogs,Mon,10,0
